"genes"	"modules"
"8530"	"M5"
"2160"	"M4"
"409"	"M4"
"16701"	"M2"
"16512"	"M1"
"14529"	"M1"
"11299"	"M2"
"7385"	"M1"
"1651"	"M1"
"6093"	"M1"
"35"	"M1"
"4536"	"M1"
"15931"	"M6"
"462"	"M1"
"10685"	"M1"
"4280"	"M2"
"1482"	"M1"
"7104"	"M2"
"10484"	"M6"
"15232"	"M1"
"7441"	"M1"
"2668"	"M1"
"2914"	"M1"
"9888"	"M1"
"2475"	"M1"
"14704"	"M6"
"11898"	"M1"
"14765"	"M2"
"1772"	"M1"
"12652"	"M8"
"3221"	"M1"
"2867"	"M1"
"13674"	"M4"
"1930"	"M1"
"15326"	"M2"
"8461"	"M2"
"4199"	"M4"
"8174"	"M1"
"4112"	"M1"
"4985"	"M1"
"7518"	"M1"
"16626"	"M1"
"7662"	"M1"
"12171"	"M5"
"6528"	"M1"
"5640"	"M2"
"11335"	"M3"
"6454"	"M6"
"10102"	"M1"
"13507"	"M6"
"8393"	"M1"
"1860"	"M1"
"5691"	"M6"
"4042"	"M1"
"1243"	"M7"
"15760"	"M4"
"6794"	"M3"
"855"	"M4"
"3602"	"M1"
"14002"	"M1"
"1054"	"M1"
"4379"	"M2"
"9567"	"M6"
"1085"	"M1"
"7354"	"M2"
"2584"	"M1"
"3528"	"M1"
"7092"	"M1"
"2384"	"M1"
"14583"	"M1"
"2752"	"M5"
"261"	"M3"
"13430"	"M1"
"10000"	"M1"
"16199"	"M3"
"12051"	"M4"
"2746"	"M5"
"11040"	"M1"
"9386"	"M7"
"11337"	"M3"
"6168"	"M1"
"8084"	"M1"
"6387"	"M1"
"13240"	"M1"
"173"	"M7"
"5575"	"M1"
"12852"	"M1"
"9631"	"M1"
"14785"	"M7"
"14582"	"M2"
"3709"	"M7"
"14549"	"M1"
"16557"	"M6"
"6738"	"M5"
"1060"	"M1"
"7879"	"M1"
"14517"	"M6"
"5133"	"M1"
"7254"	"M1"
"10535"	"M2"
"9402"	"M3"
"930"	"M1"
"14359"	"M7"
"360"	"M5"
"3740"	"M1"
"16574"	"M1"
"7948"	"M1"
"892"	"M3"
"6788"	"M7"
"1119"	"M1"
"81"	"M1"
"2405"	"M7"
"14365"	"M3"
"7776"	"M1"
"6123"	"M3"
"6273"	"M1"
"2661"	"M1"
"8808"	"M6"
"7228"	"M1"
"13820"	"M7"
"713"	"M7"
"406"	"M1"
"4830"	"M1"
"7779"	"M1"
"15518"	"M2"
"2721"	"M1"
"9905"	"M1"
"7854"	"M2"
"2184"	"M1"
"13594"	"M8"
"7379"	"M3"
"14331"	"M1"
"8569"	"M3"
"6880"	"M7"
"751"	"M1"
"15411"	"M6"
"2315"	"M3"
"15630"	"M1"
"6417"	"M1"
"8216"	"M6"
"14486"	"M1"
"2751"	"M7"
"16703"	"M1"
"1249"	"M1"
"6149"	"M5"
"7831"	"M3"
"3558"	"M1"
"14030"	"M3"
"3542"	"M1"
"2083"	"M2"
"15479"	"M5"
"8349"	"M1"
"4659"	"M3"
"5339"	"M7"
"3855"	"M3"
"11803"	"M1"
"15706"	"M1"
"8807"	"M1"
"7431"	"M1"
"15435"	"M1"
"15775"	"M5"
"9671"	"M1"
"9298"	"M7"
"3550"	"M4"
"2376"	"M1"
"74"	"M1"
"7124"	"M1"
"6712"	"M1"
"1030"	"M7"
"16162"	"M7"
"4298"	"M5"
"14664"	"M1"
"5861"	"M1"
"11332"	"M1"
"280"	"M1"
"15866"	"M1"
"116"	"M2"
"6073"	"M1"
"16106"	"M5"
"12163"	"M3"
"13182"	"M1"
"788"	"M1"
"14902"	"M1"
"15227"	"M1"
"4913"	"M1"
"15454"	"M3"
"4417"	"M1"
"4658"	"M3"
"8445"	"M5"
"15620"	"M1"
"1568"	"M1"
"8658"	"M2"
"10094"	"M1"
"9229"	"M5"
"1016"	"M1"
"11167"	"M1"
"7989"	"M3"
"5884"	"M1"
"11421"	"M1"
"12156"	"M1"
"16568"	"M3"
"2788"	"M1"
"1432"	"M4"
"12227"	"M1"
"3658"	"M1"
"16588"	"M5"
"1775"	"M1"
"3439"	"M1"
"9576"	"M1"
"2894"	"M5"
"1823"	"M5"
"2780"	"M4"
"9274"	"M1"
"8993"	"M5"
"2647"	"M5"
"1675"	"M1"
"2784"	"M1"
"9853"	"M1"
"8120"	"M1"
"11106"	"M1"
"15748"	"M2"
"9889"	"M1"
"1868"	"M2"
"14048"	"M1"
"2001"	"M2"
"4579"	"M1"
"2806"	"M1"
"12452"	"M3"
"14430"	"M4"
"15229"	"M4"
"6116"	"M1"
"16746"	"M5"
"11711"	"M1"
"6180"	"M1"
"455"	"M1"
"2088"	"M5"
"5180"	"M1"
"8581"	"M1"
"15296"	"M6"
"15787"	"M5"
"1168"	"M1"
"1451"	"M1"
"14136"	"M5"
"5967"	"M2"
"13491"	"M1"
"5198"	"M7"
"13173"	"M1"
"2253"	"M1"
"14351"	"M1"
"6698"	"M1"
"9406"	"M1"
"6495"	"M1"
